repo_id,repo_name,url,layer_caps,capability_1,iso_mapping_cap_1 - [research_1],iso_mapping_cap_1 - [research_2],iso_mapping_cap_1 - [referee],capability_2,iso_mapping_cap_2 - [research_1],iso_mapping_cap_2 - [research_2],iso_mapping_cap_2 - [referee],capability_3,iso_mapping_cap_3 - [research_1],iso_mapping_cap_3 - [research_2],iso_mapping_cap_3 - [referee]
R134,SydneyQt,https://github.com/juzeon/SydneyQt,Continuum,AI Service Interoperability Client,Interface Capability,Interface Capability,Interface Capability,Cross-Platform Lightweight Interface,Interface Capability,Interface Capability,Interface Capability,User-to-Cloud Interaction Gateway,Interface Capability,Interface Capability,Interface Capability
R150,macchina.io,https://github.com/macchina-io/macchina.io,Continuum,Edge Gateway Device & Protocol Integration,Interface Capability,Interface Capability,Interface Capability,Web-Enabled Service Exposure,Interface Capability,Interface Capability,Interface Capability,Remote Application Management & Extensibility,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R166,nabto-embedded-sdk,https://github.com/nabto/nabto-embedded-sdk,device ↔ edge,Secure P2P Communication for IoT Devices,Interface Capability,Interface Capability,Interface Capability,NAT/Firewall Traversal & Connectivity Optimization,Interface Capability,Interface Capability,Interface Capability,Lightweight Embedded Integration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R167,nanomq,https://github.com/nanomq/nanomq,device ↔ fog,Lightweight Edge Messaging Broker,Interface Capability,Interface Capability,Interface Capability,Protocol Translation & Interoperability Gateway,Interface Capability,Interface Capability,Interface Capability,High-Performance & Resource-Efficient Messaging,Interface Capability,Interface Capability,Interface Capability
R225,thin-edge.io,https://github.com/thin-edge/thin-edge.io,Continuum,Lightweight IoT Edge Gateway,Interface Capability,Interface Capability,Interface Capability,Multi-Protocol IoT Interoperability,Interface Capability,Interface Capability,Interface Capability,Remote Device Management & OTA Updates,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R227,flogo,https://github.com/TIBCOSoftware/flogo,edge ↔ Cloud,Lightweight Event-Driven Integration,Interface Capability,Interface Capability,Interface Capability,Cross-Platform & Serverless Deployment,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Embedded AI/ML Inference in Flows,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R235,saf,https://github.com/TRUMPF-IoT/saf,device ↔ fog,Semantic IoT Process,Interface Capability,Supporting capability,Supporting capability,Dynamic Orchestration and Service Composition,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Protocol Interoperability,Interface Capability,Interface Capability,Interface Capability
R022,aws-iot-fleetwise-edge,https://github.com/aws/aws-iot-fleetwise-edge,Edge ↔ fog,Intelligent Data Collection & Remote Commands,Data Capabilities,Data Capabilities,Data Capabilities,Store-and-Forward with Edge Buffering,Data Capabilities,Data Capabilities,Data Capabilities,Secure MQTT Communication,Interface Capability,Interface Capability,Interface Capability
R095,fledge,https://github.com/fledge-iot/fledge,device ↔ fog,Edge Data Ingestion & Preprocessing,Data Capabilities,Data Capabilities,Data Capabilities,Plugin-based Northbound/Southbound Connectivity,Interface Capability,Interface Capability,Interface Capability,Edge Analytics & Closed-Loop Control,Data Capabilities,Data Capabilities,Data Capabilities
R101,solo-server,https://github.com/GetSoloTech/solo-server,edge ↔ Cloud,Biomedical IoT Data Aggregation & Storage,Data Capabilities,Data Capabilities,Data Capabilities,APIs for Health Data Integration,Interface Capability,Interface Capability,Interface Capability,User & Device Management for IoT Healthcare,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R120,AiCSD,https://github.com/intel/AiCSD,edge ↔ fog,Edge Data Pipeline & Processing,Data Capabilities,Data Capabilities,Data Capabilities,Monitoring & Log Analytics,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Secure Coordination & Communication,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R123,AISonobuoy,https://github.com/IQTLabs/AISonobuoy,device ↔ fog,Edge Data Pipeline & Processing,Data Capabilities,Data Capabilities,Data Capabilities,Automated Data Collection & Labeling,Data Capabilities,Data Capabilities,Data Capabilities,Low-Power Edge Inference & Alerting,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Supporting Capabilities
R142,ekuiper,https://github.com/lf-edge/ekuiper,device ↔ fog,Lightweight Stream Processing & Rule Engine,Data Capabilities,Data Capabilities,Data Capabilities,Highly Extensible Connectivity Framework,Interface Capability,Interface Capability,Interface Capability,Management Dashboard & API-based Control,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R151,microflow-rs,https://github.com/matteocarnelos/microflow-rs,device ↔ edge,Lightweight Stream Processing Runtime,Data Capabilities,Data Capabilities,Data Capabilities,Reactive Dataflow & Event Handling,Data Capabilities,Data Capabilities,Data Capabilities,Embedded-Friendly Portability,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R198,redpanda-edge-agent,https://github.com/redpanda-data/redpanda-edge-agent,edge ↔ Cloud,Edge-to-Cloud Data Streaming,Data Capabilities,Data Capabilities,Data Capabilities,Resilient Connectivity in Intermittent Networks,Interface Capability,Interface Capability,Interface Capability,Remote Agent Management & Integration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R251,yomo,https://github.com/yomorun/yomo,edge ↔ fog,Low-Latency Edge Stream Processing,Data Capabilities,Data Capabilities,Data Capabilities,WASM-Based Modular Execution,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,AI-Enabled Real-Time Decision Making,Supporting Capabilities,Data Capabilities,Supporting Capabilities
R007,aXeleRate,https://github.com/AIWintermuteAI/aXeleRate,device ↔ fog,Model Training & Auto-Conversion,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Multi-Format Hardware Optimization,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Configurable Workflow & Versioning,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R016,ai8x-synthesis,https://github.com/analogdevicesinc/ai8x-synthesis,device ↔ fog,Model Quantization & Synthesis,Supporting Capabilities,Data Capabilities,Supporting Capabilities,Edge Hardware Optimization,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Toolchain Integration & Automation,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R017,ai8x-training,https://github.com/analogdevicesinc/ai8x-training,device ↔ fog,Model Training & Preparation,Supporting Capabilities,Data Capabilities,Supporting Capabilities,Hardware-Aware Model Constraint Handling,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,AutoML / Training Workflow Integration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R258,auritus,https://github.com/nesl/auritus,device ↔ edge,Model Optimization for Earable Edge,Supporting Capabilities,Data Capabilities,Supporting Capabilities,Hardware-Aware Model Compactness,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Extendability & Custom Pipeline,Data Capabilities,Data Capabilities,Data Capabilities
R035,KAN,https://github.com/Azure/KAN,Continuum,Efficient Model Training & Inference,Supporting Capabilities,Data Capabilities,Supporting Capabilities,Explainable & Interpretable AI Models,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Cross-Domain Deployment Flexibility,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R091,nn-comp,https://github.com/etri-edgeai/nn-comp,device ↔ fog,Model Compilation & Code Generation for Edge,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Optimization & Quantization for Resource Efficiency,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Cross-Framework & Cross-Hardware Interoperability,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R154,mindspore,https://github.com/mindspore-ai/mindspore,Continuum,End-to-End AI Lifecycle (Cloud–Edge–Device),Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Lightweight Edge Inference (MindSpore Lite),Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Privacy-Preserving Federated Learning,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R194,executorch,https://github.com/pytorch/executorch,edge ↔ fog,End-to-End On-Device AI Workflow,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,High Portability across Diverse Hardware,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Developer Productivity & Toolchain Integration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R204,fedn,https://github.com/scaleoutsystems/fedn,edge ↔ Cloud,Federated Model Training & Aggregation,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Scalable Orchestration of Heterogeneous Nodes,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Privacy-Preserving Collaboration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R247,Vitis-AI,https://github.com/Xilinx/Vitis-AI,Continuum,Model Compilation & FPGA Acceleration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,End-to-End AI Deployment Stack,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Hardware-Optimized Edge AI Runtime,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R058,UA-EdgeHEMS,https://github.com/digitaltwinconsortium/UA-EdgeHEMS,Continuum,Edge-Based Energy Management & Optimization,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Device Interoperability via OPC UA,Interface Capability,Interface Capability,Interface Capability,Digital Twin for Predictive Control & Monitoring,Interface Capability,Data Capabilities,Data Capabilities
R064,edgehog-device-runtime,https://github.com/edgehog-device-manager/edgehog-device-runtime,device ↔ fog,Comprehensive Telemetry Reporting,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,OTA Management & State Control,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Container Service Integration,Interface Capability,Interface Capability,Interface Capability
R023,dem,https://github.com/axem-solutions/dem,Edge ↔ fog,Declarative DevEnv Orchestration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Template & Registry Integration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Portable Containerized Tooling,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R025,edge-aio-in-a-box,https://github.com/Azure-Samples/edge-aio-in-a-box,Continuum,Automated Azure Edge Provisioning,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Edge AI Model Lifecycle Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Interactive Edge Testing & Inference,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R029,azure-iotedge,https://github.com/Azure/azure-iotedge,device ↔ fog,Edge Module Orchestration & Runtime Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Local Communication & Store-and-Forward Routing,Data Capabilities,Data Capabilities,Data Capabilities,Secure Identity & Runtime Integrity,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R031,iotedge,https://github.com/Azure/iotedge,Continuum,Containerized Workload Orchestration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Local Secure Communication & Store-and-Forward,Data Capabilities,Data Capabilities,Data Capabilities,Cloud-Integrated Device Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R037,baetyl,https://github.com/baetyl/baetyl,Continuum,Edge-Cloud Declarative Orchestration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Modular Edge Runtime & OTA Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Lightweight Messaging Middleware,Interface Capability,Data ou Supporting,Interface Capability
R047,JAMScript,https://github.com/citelab/JAMScript,device ↔ fog,Unified Programming Model,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Reactive Runtime & Hierarchical Orchestration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Distributed Device Collaboration,Interface Capability,Interface Capability,Interface Capability
R048,FogBus2,https://github.com/Cloudslab/FogBus2,edge ↔ Cloud,Integrated Fog-Cloud Resource Orchestration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Secure Data Management & Authentication,Supporting Capabilities,Data Capabilities,Supporting Capabilities,QoS-aware Task Scheduling & Monitoring,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R061,kura,https://github.com/eclipse-kura/kura,Continuum,Edge Gateway Device & Network Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,"Data Collection, Buffering & Filtering",Data Capabilities,Data Capabilities,Data Capabilities,Cloud Connectivity & Remote Lifecycle Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R063,edgehog,https://github.com/edgehog-device-manager/edgehog,Continuum,OTA Lifecycle & Fleet Control,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Remote Docker Application Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Dynamic Fleet Grouping & Geolocation,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R116,inngest,https://github.com/inngest/inngest,fog ↔ cloud,Event-Driven Orchestration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Resilient Task Scheduling & State Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Cross-Environment Portability,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R121,compage,https://github.com/intelops/compage,fog ↔ cloud,Low-Code Cloud-to-Edge App Generation,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Supply Chain Security & SBOM Automation,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Multi-Platform Orchestration & Deployment,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R138,kubeedge,https://github.com/kubeedge/kubeedge,Continuum,Cloud-Edge Application Orchestration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Secure Edge Communication & Digital Twin,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,IoT Device Integration & Event Routing,Interface Capability,Interface Capability,Interface Capability
R141,edge-home-orchestration-go,https://github.com/lf-edge/edge-home-orchestration-go,device ↔ fog,Dynamic Service Offloading & Load Balancing,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Distributed Device Discovery & Scheduling,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Container-based Application Deployment,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R148,loxilb,https://github.com/loxilb-io/loxilb,edge ↔ Cloud,High-Performance Edge Load Balancing,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Multi-Cluster & Multi-Tenant Networking,Interface Capability,Interface Capability,Interface Capability,Security & Resilience (DDoS Protection),Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R149,luos_engine,https://github.com/Luos-io/luos_engine,device ↔ fog,Modular Microservice Architecture,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Dynamic Service Discovery & Communication,Interface Capability,Interface Capability,Interface Capability,Distributed IoT System Scalability,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R152,tokay-lite-sdk,https://github.com/maxlab-io/tokay-lite-sdk,device ↔ fog,Lightweight SDK for IoT/Edge AI,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,On-Device AI Inference,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Supporting Capabilities,IoT Connectivity & Integration,Interface Capability,Interface Capability,Interface Capability
R153,azure_arc,https://github.com/microsoft/azure_arc,Continuum,Unified Hybrid Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,GitOps & Policy-based Configuration at Scale,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Unified Security & Monitoring,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R163,montithings,https://github.com/MontiCore/montithings,device ↔ fog,Model-Driven IoT/Edge Application Development,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Dynamic Deployment & Update at Edge,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Asynchronous Cross-Device Communication,Interface Capability,Interface Capability,Interface Capability
R183,microshift,https://github.com/openshift/microshift,edge ↔ Cloud,Lightweight Kubernetes-Native Orchestration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Cloud-Edge Continuum Integration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Secure Lifecycle & Policy Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R197,rhel-edge-automation-arch,https://github.com/redhat-cop/rhel-edge-automation-arch,edge ↔ fog,Automated Edge Provisioning & Configuration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,OTA Updates & Rollback Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,GitOps-Driven Orchestration & Compliance,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R203,salt,https://github.com/saltstack/salt,edge ↔ Cloud,Scalable Remote Configuration & Automation,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Real-Time Orchestration & Parallel Execution,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,"Security, Compliance & Lifecycle Management",Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R205,ModelAssistant,https://github.com/Seeed-Studio/ModelAssistant,device ↔ fog,Simplified AI Model Deployment at Edge,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Multi-Framework & Hardware Interoperability,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Model Lifecycle Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R210,simpleiot,https://github.com/simpleiot/simpleiot,Continuum,Lightweight Edge IoT Platform,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Graph-Based Device & Data Modeling,Data Capabilities,Data Capabilities,Data Capabilities,Remote Device Management & Configuration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R217,fogflow,https://github.com/smartfog/fogflow,edge ↔ Cloud,Dynamic Service Orchestration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Context-aware Service Discovery & Chaining,Interface Capability,Interface Capability,Interface Capability,Distributed Task Scheduling & Optimization,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R259,open-horizon,https://github.com/motion-ai/open-horizon,edge ↔ Cloud,Autonomous Policy-Based Workload Orchestration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Resilient Offline Edge Operation,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Secure Lifecycle Management for Edge Services,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R028,AI-in-a-Box,https://github.com/Azure/AI-in-a-Box,fog ↔ cloud,Deployment Acceleration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Responsible AI / Security,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Scalability,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R013,heartkit,https://github.com/AmbiqAI/heartkit,device ↔ fog,On-Device Biomedical Signal Inference,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Supporting Capabilities,Low-Power AI Optimization,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Health Data Preprocessing & Model Lifecycle,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R015,sleepkit,https://github.com/AmbiqAI/sleepkit,device ↔ fog,On-Device Sleep Stage Inference,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Supporting Capabilities,Low-Power TinyML Optimization,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,End-to-End ML Pipeline for Biomedical IoT,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R018,MaximAI_Documentation,https://github.com/analogdevicesinc/MaximAI_Documentation,device ↔ fog,TinyML Deployment for Resource-Constrained MCUs,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,"Model Training, Quantization & Synthesis Workflow",Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Domain-Specific Edge AI (Vision & Speech),Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R032,iotedge-eflow,https://github.com/Azure/iotedge-eflow,Continuum,Cross-Platform Edge Runtime Hosting,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Containerized Workload Execution & Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Cloud-Integrated Device Orchestration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R040,Olares,https://github.com/beclab/Olares,device ↔ fog,Local-First AI Application Hosting,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Decentralized AI App Marketplace,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Application Orchestration & Management at Edge,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R049,tflite_beam,https://github.com/cocoa-xu/tflite_beam,device ↔ fog,On-Device ML Inference via TensorFlow Lite,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Integration of ML into Distributed BEAM Ecosystem,Supporting Capabilities,Data capabilities or Interface,Supporting Capabilities,Cross-Platform Edge Deployment,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R050,tflite_elixir,https://github.com/cocoa-xu/tflite_elixir,device ↔ fog,On-Device ML Inference with TensorFlow Lite,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Elixir Integration for Edge AI Applications,Supporting Capabilities,Data capabilities or Interface,Supporting Capabilities,Cross-Platform Edge Deployment,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R051,BitNetMCU,https://github.com/cpldcpu/BitNetMCU,device ↔ fog,Low-Bit Model Quantization & Inference on MCU,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,TinyML Training & Export Pipeline,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Hardware-Aware Efficiency Optimization,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R055,motion-ai,https://github.com/dcmartin/motion-ai,device ↔ fog,On-Device Video Analytics & AI Inference,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Hardware-Accelerated Inference for Vision,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Supporting Capabilities,Event-Driven IoT Integration,Interface Capability,Interface Capability,Interface Capability
R056,leapfrogai,https://github.com/defenseunicorns/leapfrogai,Continuum,Secure Local LLM Serving,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Auditable & Observable AI Inference,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Kubernetes-Native Deployment in Air-Gapped Environments,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R060,NanoLLM,https://github.com/dusty-nv/NanoLLM,device ↔ edge,On-Device LLM Inference with GPU Acceleration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Optimized Resource Utilization for Edge AI,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Offline & Private AI Assistant at Edge,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R082,edgen,https://github.com/edgenai/edgen,device ↔ fog,Local Modular GenAI Serving,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Hardware-Adaptive Inference Optimization,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Cross-Platform Native Deployment,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R088,emlearn,https://github.com/emlearn/emlearn,device ↔ fog,Portable C99 TinyML Engine,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Python-to-Embedded Workflow Bridge,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Platform-Agnostic Compatibility,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R105,LiteRT,https://github.com/google-ai-edge/LiteRT,device ↔ fog,Lightweight On-Device Inference Runtime,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Hardware-Accelerated ML Execution,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Cross-Platform Portability & Integration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R124,BirdsEye,https://github.com/IQTLabs/BirdsEye,edge ↔ fog,Lightweight RL-based RF Localization,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Compute-Efficient Training & Inference,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Simulation-Driven Edge Modeling,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
