criteria,repo_id,repo_name,full_repo_name,url,sa_doc,sa_doc_link,domain,architectural_layer,capability_1,iso_mapping_cap_1,layer_cap_1,capability_2,iso_mapping_cap_2,layer_cap_2,capability_3,iso_mapping_cap_3,layer_cap_3,layer_caps,search_term,stars,desc.,lang,last_commit,commits_2024,n_commits,collaborators,template,fork,forks,size,score,archived,disabled
I2,R033,iotedge-lorawan-starterkit,Azure/iotedge-lorawan-starterkit,https://github.com/Azure/iotedge-lorawan-starterkit,YES,https://azure.github.io/iotedge-lorawan-starterkit/2.2.1/user-guide/architecture/?h=archi,"IIoT, Smart Environments",Infrastructure,Protocol Translation Gateway,Interface Capability,Device/Edge,Edge Network Server for LoRaWAN,Interface Capability,Edge,Cloud-Integrated Device & Data Management,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,185.0,Sample implementation of LoRaWAN components to connect LoRaWAN antenna gateway running IoT Edge directly with Azure IoT.,C#,2024-05-30T13:04:45Z,0.0,1.074,34.0,False,False,63.0,35444.0,1.0,False,False
I2,R035,KAN,Azure/KAN,https://github.com/Azure/KAN,YES,https://github.com/Azure/KAN?tab=readme-ov-file#how-it-works,"Federated Learning, Efficient AI",Infrastructure,Efficient Model Training & Inference,Supporting Capabilities,Edge/Fog/Cloud,Explainable & Interpretable AI Models,Supporting Capabilities,Cross-cutting,Cross-Domain Deployment Flexibility,Supporting Capabilities,Cross-cutting,Continuum,edge ai,77.0,"KubeAI Application Nucleus for edge is a solution accelerator for creating, deploying, and operating environment-aware solutions at scale that use artificial intelligence (AI) at the edge with the control and flexibility of open-source natively on your environment. ",TypeScript,2024-05-15T08:00:06Z,80.0,165,8.0,False,False,22.0,67854.0,1.0,False,False
I1,R037,baetyl,baetyl/baetyl,https://github.com/baetyl/baetyl,YES,https://baetyl.readthedocs.io/en/1.0.0/overview/Design.html,"IIoT, Smart Environments, Efficient AI",Infrastructure,Edge-Cloud Declarative Orchestration,Supporting Capabilities,Fog/Cloud,Modular Edge Runtime & OTA Management,Supporting Capabilities,Edge/Fog,Lightweight Messaging Middleware,Interface Capability,Device/Edge,Continuum,edge iot,1879.0,"Extend cloud computing, data and service seamlessly to edge devices.",Go,2024-05-11T06:12:43Z,0.0,1.259,26.0,False,False,323.0,106376.0,1.0,False,False
I2,R040,Olares,beclab/Olares,https://github.com/beclab/Olares,YES,https://docs.olares.xyz/manual/system-architecture.html,Orchestration,Infrastructure,Local-First AI Application Hosting,Supporting Capabilities,Device/Edge,Decentralized AI App Marketplace,Supporting Capabilities,Cross-cutting,Application Orchestration & Management at Edge,Supporting Capabilities,Edge/Fog,device ↔ fog,edge-ai,1709.0,Olares: An Open-Source Sovereign Cloud OS for Local AI,Shell,2025-01-19T18:44:56Z,769.0,816,18.0,False,False,59.0,3627.0,1.0,False,False
I2,R047,JAMScript,citelab/JAMScript,https://github.com/citelab/JAMScript,Partially,https://github.com/citelab/JAMScript/blob/master/lib/jside/docs/diagrams.pdf,Mobile IoT,Infrastructure,Unified Programming Model,Supporting Capabilities,Cross-cutting,Reactive Runtime & Hierarchical Orchestration,Supporting Capabilities,Fog/Edge,Distributed Device Collaboration,Interface Capability,Device/Edge,device ↔ fog,edge-iot,31.0,A programming language for cloud of moving things (edge-based IoT),C,2024-09-13T06:59:44Z,9.0,2.593,20.0,False,False,19.0,58313.0,1.0,False,False
I1,R048,FogBus2,Cloudslab/FogBus2,https://github.com/Cloudslab/FogBus2,Partially,https://github.com/Cloudslab/FogBus2?tab=readme-ov-file#sample-environment-architecture,"Orchestration, Smart Environments, Efficient AI",Infrastructure,Integrated Fog-Cloud Resource Orchestration,Supporting Capabilities,Fog/Cloud,Secure Data Management & Authentication,Supporting Capabilities,Cross-cutting,QoS-aware Task Scheduling & Monitoring,Supporting Capabilities,Edge/Fog,edge ↔ Cloud,edge-iot,25.0,FogBus2: A Lightweight and Distributed Container-based Framework for Integration of IoT-enabled Systems with Edge and Cloud Computing,Python,2024-09-03T09:17:50Z,0.0,471,2.0,False,False,10.0,27933.0,1.0,False,False
I2,R049,tflite_beam,cocoa-xu/tflite_beam,https://github.com/cocoa-xu/tflite_beam,NO,,Efficient AI,Infrastructure,On-Device ML Inference via TensorFlow Lite,Supporting Capabilities,Device/Edge,Integration of ML into Distributed BEAM Ecosystem,Supporting Capabilities,Cross-cutting,Cross-Platform Edge Deployment,Supporting Capabilities,Edge/Fog,device ↔ fog,edgetpu,39.0,TensorFlow Lite Erlang bindings with optional EdgeTPU support.,C++,2024-10-28T14:25:08Z,50.0,486,3.0,False,False,6.0,31477.0,1.0,False,False
I2,R050,tflite_elixir,cocoa-xu/tflite_elixir,https://github.com/cocoa-xu/tflite_elixir,NO,,"Efficient AI, Robotic",Infrastructure,On-Device ML Inference with TensorFlow Lite,Supporting Capabilities,Device/Edge,Elixir Integration for Edge AI Applications,Supporting Capabilities,Cross-cutting,Cross-Platform Edge Deployment,Supporting Capabilities,Edge/Fog,device ↔ fog,edgetpu,20.0,TensorFlow Lite Elixir bindings with optional EdgeTPU support.,Elixir,2024-10-05T20:51:38Z,23.0,82,2.0,False,False,3.0,31471.0,1.0,False,False
I2,R051,BitNetMCU,cpldcpu/BitNetMCU,https://github.com/cpldcpu/BitNetMCU,NO,,Efficient AI,Infrastructure,Low-Bit Model Quantization & Inference on MCU,Supporting Capabilities,Edge/Device,TinyML Training & Export Pipeline,Supporting Capabilities,Edge/Fog,Hardware-Aware Efficiency Optimization,Supporting Capabilities,Cross-cutting,device ↔ fog,tinyml,254.0,Neural Networks with low bit weights on low end 32 bit microcontrollers such as the CH32V003 RISC-V Microcontroller and others,C,2024-12-15T11:52:33Z,126.0,126,2.0,False,False,25.0,8730.0,1.0,False,False
I1,R055,motion-ai,dcmartin/motion-ai,https://github.com/dcmartin/motion-ai,NO,,Computer Vision,System,On-Device Video Analytics & AI Inference,Supporting Capabilities,Device/Edge,Hardware-Accelerated Inference for Vision,Supporting Capabilities,Cross-cutting,Event-Driven IoT Integration,Interface Capability,Edge/Fog,device ↔ fog,edge ai,296.0,AI assisted motion detection for Home Assistant,Jupyter Notebook,2024-02-08T17:43:31Z,3.0,10.151,4.0,False,False,29.0,361169.0,1.0,False,False
I1,R056,leapfrogai,defenseunicorns/leapfrogai,https://github.com/defenseunicorns/leapfrogai,NO,,Chatbot,Infrastructure,Secure Local LLM Serving,Supporting Capabilities,Device/Edge,Auditable & Observable AI Inference,Supporting Capabilities,Cross-cutting,Kubernetes-Native Deployment in Air-Gapped Environments,Supporting Capabilities,Fog/Cloud ,Continuum,edge ai,265.0,"Production-ready Generative AI for local, cloud native, airgap, and edge deployments.",Python,2024-11-13T16:06:55Z,350.0,734,30.0,False,False,29.0,19351.0,1.0,False,False
I1,R058,UA-EdgeHEMS,digitaltwinconsortium/UA-EdgeHEMS,https://github.com/digitaltwinconsortium/UA-EdgeHEMS,NO,,IIoT,System,Edge-Based Energy Management & Optimization,Supporting Capabilities,Edge,Device Interoperability via OPC UA,Interface Capability,Device/Edge,Digital Twin for Predictive Control & Monitoring,Data Capabilities,Fog/Cloud ,Continuum,edge iot,16.0,An OPC UA server-backed Home Energy Management System (HEMS) for the Smart Home,C#,2024-10-28T08:05:25Z,4.0,139,3.0,False,False,5.0,444.0,1.0,False,False
I1,R060,NanoLLM,dusty-nv/NanoLLM,https://github.com/dusty-nv/NanoLLM,NO,,"chatbot, Real Time Data Processing, Computer Vision",Infrastructure,On-Device LLM Inference with GPU Acceleration,Supporting Capabilities,Device/Edge,Optimized Resource Utilization for Edge AI,Supporting Capabilities,Cross-cutting,Offline & Private AI Assistant at Edge,Supporting Capabilities,Edge,device ↔ edge,edge-ai,228.0,"Optimized local inference for LLMs with HuggingFace-like APIs for quantization, vision/language models, multimodal agents, speech, vector DB, and RAG.",Python,2024-10-18T02:50:37Z,172.0,172,3.0,False,False,40.0,3806.0,1.0,False,False
I1,R061,kura,eclipse-kura/kura,https://github.com/eclipse-kura/kura,Partially,http://eclipse-kura.github.io/kura/docs-release-5.6/cloud-platform/kura-sparkplug/,IIoT,Infrastructure,Edge Gateway Device & Network Management,Supporting Capabilities,Device/Edge,"Data Collection, Buffering & Filtering",Data Capabilities,Edge,Cloud Connectivity & Remote Lifecycle Management,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,513.0,"Eclipse Kura™ is a versatile framework to supercharge your edge devices, streamlining the process of configuring your gateway, connecting sensors, and IoT devices to seamlessly collect, process, and send data to the cloud.",Java,2025-01-18T09:21:42Z,212.0,6.039,59.0,False,False,314.0,406204.0,1.0,False,False
I2,R063,edgehog,edgehog-device-manager/edgehog,https://github.com/edgehog-device-manager/edgehog,YES,http://docs.edgehog.io/0.9/overview.html,Orchestration,Infrastructure,OTA Lifecycle & Fleet Control,Supporting Capabilities,Fog/Cloud,Remote Docker Application Management,Supporting Capabilities,Edge,Dynamic Fleet Grouping & Geolocation,Supporting Capabilities,Cross-cutting,Continuum,edge iot,35.0,"Easily manage your IoT device fleet with Edgehog at once. Get information on device status, deploy updates, geolocate your devices and much more!",Elixir,2025-01-15T13:12:47Z,512.0,1.639,15.0,False,False,22.0,8234.0,1.0,False,False
I2,R064,edgehog-device-runtime,edgehog-device-manager/edgehog-device-runtime,https://github.com/edgehog-device-manager/edgehog-device-runtime,NO,,Orchestration,Infrastructure,Comprehensive Telemetry Reporting,Supporting Capabilities,Device/Edge,OTA Management & State Control,Supporting Capabilities,Edge/Fog,Container Service Integration,Interface Capability,Edge,device ↔ fog,edge iot,12.0,"Edgehog Device Runtime is a portable middleware written in Rust, that enables remote device management on Linux-based systems.",Rust,2025-01-20T09:04:12Z,338.0,676,11.0,False,False,12.0,1493.0,1.0,False,False
I1,R082,edgen,edgenai/edgen,https://github.com/edgenai/edgen,Partially,https://github.com/edgenai/edgen/blob/main/docs/assets/edgen_architecture_overview.svg,Efficient AI,Infrastructure,Local Modular GenAI Serving,Supporting Capabilities,Edge/Device,Hardware-Adaptive Inference Optimization,Supporting Capabilities,Cross-cutting (Edge/Fog),Cross-Platform Native Deployment,Supporting Capabilities,Fog/Edge,device ↔ fog,edge ai,344.0,"⚡  Edgen: Local, private GenAI server alternative to OpenAI. No GPU required. Run AI models locally: LLMs (Llama2, Mistral, Mixtral...), Speech-to-text (whisper) and many others.",Rust,2024-05-23T14:21:38Z,315.0,315,7.0,False,False,16.0,2481.0,1.0,False,False
I2,R083,shifu,Edgenesis/shifu,https://github.com/Edgenesis/shifu,YES,https://shifu.dev/docs/references/architecture/,Orchestration,Infrastructure,Device Virtualization & Digital Twin,Interface Capability,Device/Edge,Protocol Interoperability & Integration,Interface Capability,Edge/Fog,Kubernetes-Native Orchestration of IoT Devices,Supporting Capabilities,Fog/Cloud ,Continuum,edge iot,1304.0,Kubernetes-native IoT gateway,Go,2025-01-20T09:33:43Z,149.0,641,39.0,False,False,121.0,50368.0,1.0,False,False
I3,R084,evio,EdgeVPNio/evio,https://github.com/EdgeVPNio/evio,YES,https://edgevpn.io/architecture/,IIoT,Infrastructure,Virtualized Overlay Networking,Interface Capability,Fog/Edge,Decentralized SDN Control & Peer Discovery,Interface Capability,Fog/Edge,Secure Peer-to-Peer Tunneling,Interface Capability,Cross-cutting,edge ↔ fog,edge-iot,44.0,"Virtualized overlay networking for the fog. The Evio network spans the continuum, from the cloud to the edge, providing a virtual private layer 2 network suitable for edge devices in IoT workloads.",Python,2024-08-26T19:53:45Z,32.0,190,6.0,False,False,15.0,2080.0,1.0,False,False
I2,R088,emlearn,emlearn/emlearn,https://github.com/emlearn/emlearn,NO,,IIoT,Infrastructure,Portable C99 TinyML Engine,Supporting Capabilities,Device/Edge,Python-to-Embedded Workflow Bridge,Supporting Capabilities,Fog/Edge,Platform-Agnostic Compatibility,Supporting Capabilities,Cross-cutting,device ↔ fog,tinyml,545.0,Machine Learning inference engine for Microcontrollers and Embedded devices,Python,2025-01-18T23:41:01Z,134.0,686,7.0,False,False,57.0,2110.0,1.0,False,False
I1,R091,nn-comp,etri-edgeai/nn-comp,https://github.com/etri-edgeai/nn-comp,NO,,Efficient AI,Infrastructure,Model Compilation & Code Generation for Edge,Supporting Capabilities,Device/Edge,Optimization & Quantization for Resource Efficiency,Supporting Capabilities,Cross-cutting,Cross-Framework & Cross-Hardware Interoperability,Supporting Capabilities,Edge/Fog,device ↔ fog,edgeai,12.0,Neural Network Compression for Edge AI,Python,2024-12-19T13:18:59Z,1.0,338,4.0,False,False,7.0,554.0,1.0,False,False
I1,R092,GPT-Telegramus,F33RNI/GPT-Telegramus,https://github.com/F33RNI/GPT-Telegramus,NO,,"Speech, chatbot",System,Service/Protocol Interoperability Gateway,Interface Capability,Edge/Fog,Access Control & Operational Telemetry,Supporting Capabilities,cross-cutting,Containerized Deployment & Portability,Supporting Capabilities,Edge/Fog/Cloud,edge ↔ Cloud,edge-ai,340.0,"💜 The best free Telegram bot for ChatGPT, Microsoft Copilot (aka Bing AI / Sidney / EdgeGPT), Microsoft Copilot Designer (aka BingImageCreator), Gemini and Groq with stream writing, requests with images, multiple languages, admin control, data logging and more!",Python,2024-05-16T04:53:12Z,149.0,528,9.0,False,False,104.0,10017.0,1.0,False,False
I2,R093,fabedge,FabEdge/fabedge,https://github.com/FabEdge/fabedge,YES,https://github.com/FabEdge/fabedge?tab=readme-ov-file#how-it-works,IIoT,Infrastructure,Secure Cloud-Edge & Edge-Edge Overlay Networking,Interface Capability,Fog/Edge,Automatic Configuration & Topology-Aware Discovery,Supporting Capabilities,Edge/Fog,Kubernetes-Native Multi-Cluster Orchestration,Supporting Capabilities,Fog/Edge,edge ↔ fog,edge iot,523.0,Secure Edge Networking Solution Based On Kubernetes,Go,2025-01-11T01:27:42Z,7.0,835,17.0,False,False,57.0,5337.0,1.0,False,False
I2,R095,fledge,fledge-iot/fledge,https://github.com/fledge-iot/fledge,YES,https://github.com/fledge-iot/fledge/blob/develop/docs/fledge_architecture.rst,IIoT,Infrastructure,Edge Data Ingestion & Preprocessing,Data Capabilities,Edge,Plugin-based Northbound/Southbound Connectivity,Interface Capability,Device/Edge/Fog,Edge Analytics & Closed-Loop Control,Data Capabilities,Edge,device ↔ fog,edge iot,127.0,"An open source platform for the Industrial Internet of Things, it acts as an edge gateway between sensor devices and cloud storage systems.",Python,2025-01-17T12:43:43Z,608.0,11.824,42.0,False,False,50.0,44971.0,1.0,False,False
I3,R096,pipy,flomesh-io/pipy,https://github.com/flomesh-io/pipy,NO,,"Data streaming processing, Efficient AI",Infrastructure,Programmable Network Proxy & Pipelines,Interface Capability,Edge/Fog,Service Mesh & API Gateway Integration,Interface Capability,Fog/Cloud,Lightweight High-Performance Networking,Interface Capability,Cross-cutting,edge ↔ Cloud,edge-iot,782.0,"Pipy is a programmable proxy for the cloud, edge and IoT.",C++,2025-01-16T03:41:09Z,480.0,2.251,21.0,False,False,73.0,53687.0,1.0,False,False
I3,R098,trusted-connector,Fraunhofer-AISEC/trusted-connector,https://github.com/Fraunhofer-AISEC/trusted-connector,YES,https://industrial-data-space.github.io/trusted-connector-documentation/docs/overview/,IIoT,Infrastructure,Secure Data Exchange Gateway,Interface Capability,Fog/Cloud/Edge,Data Sovereignty & Policy Enforcement,Supporting Capabilities,Cross-cutting,Trusted Execution & Compliance Integration,Supporting Capabilities,Fog/Cloud ,edge ↔ Cloud,edge-iot,48.0,"IoT edge platform ""Trusted Connector"" of the International Data Spaces. Based on Spring Boot, includes Camel message routing, a Camel component for IDSCP2 (including remote attestation with other connectors) and a management web UI.",Kotlin,2024-08-31T15:15:08Z,32.0,2.263,14.0,False,False,45.0,114526.0,1.0,False,False
I1,R101,solo-server,GetSoloTech/solo-server,https://github.com/GetSoloTech/solo-server,NO,,"Efficient AI, Orchestration",Infrastructure,Biomedical IoT Data Aggregation & Storage,Data Capabilities,Edge/Fog,APIs for Health Data Integration,Interface Capability,Fog/Cloud,User & Device Management for IoT Healthcare,Supporting Capabilities,Cross-cutting,edge ↔ Cloud,edge-ai,31.0,Simple server to manage compound AI,Python,2025-01-07T18:18:11Z,93.0,95,5.0,False,False,4.0,45864.0,1.0,False,False
I2,R105,LiteRT,google-ai-edge/LiteRT,https://github.com/google-ai-edge/LiteRT,NO,,"Federated learning, Efficient AI",Infrastructure,Lightweight On-Device Inference Runtime,Supporting Capabilities,Device/Edge,Hardware-Accelerated ML Execution,Supporting Capabilities,Cross-cutting (Device/Edge),Cross-Platform Portability & Integration,Supporting Capabilities,Edge/Fog,device ↔ fog,edge ai,237.0,"LiteRT is the new name for TensorFlow Lite (TFLite). While the name is new, it's still the same trusted, high-performance runtime for on-device AI, now with an expanded vision.",C++,2025-01-19T21:01:14Z,175.0,261,32.0,False,False,20.0,49963.0,1.0,False,False
I2,R116,inngest,inngest/inngest,https://github.com/inngest/inngest,YES,https://www.inngest.com/docs/self-hosting#inngest-system-architecture,"Data streaming processing, Real Time Data Processing",Infrastructure,Event-Driven Orchestration,Supporting Capabilities,Fog/Cloud,Resilient Task Scheduling & State Management,Supporting Capabilities,Edge,Cross-Environment Portability,Supporting Capabilities,Cross-cutting,fog ↔ cloud,edge-ai,2356.0,"The leading workflow orchestration platform.  Run stateful step functions and AI workflows on serverless, servers, or the edge.",Go,2025-01-17T23:31:55Z,1097.0,4.174,24.0,False,False,91.0,325678.0,1.0,False,False
